NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
PLT02507;POLINTER;PLT-E-0207-03-03;ESPECTRO, INFRARROJO, EQUIPO, RANGO DE ANALISIS, PELLETS, POLVO, KEMAMIDE, DESLIZANTES, OLEAMIDA, ERUCAMIDA,;"CARRERO, JOHANA; EDGAR GONZµLEZ";;;"ANµLISIS DE ADITIVOS EN PELBD V÷A NIR:  DESARROLLO 
DE MêTODO DE ENSAYO DE DESLIZANTE EN PEBD Y/O 
PELBD  V÷A NIR SOBRE PELLETS.  
""RESULTADOS  PARCIALES""";INFORME TECNICO;2007;"SE PRESENTA LOS RESULTADOS OBTENIDOS DURANTE EL ESTUDIO REALIZADO PARA EL MONTAJE DEL MêTODO  DE  DETERMINACI‡N  DE  RESBALANTE  PRESENTE  EN  PELBD  MEDIANTE  NIR  Y  SU COMPARACI‡N CON LAS TêCNICA DEL FTIR Y V÷A HUMEDAD (TRADICIONAL).  

LA  INESTABILIDAD  DEL  EQUIPO  DURANTE  SU  ARRANQUE  Y  PUESTA  EN  SERVICIO,    IMPIDI‡  SU 
UTILIZACI‡N Y POR ENDE, LA COMPARACI‡N PLANTEADA; CUBRIêNDOSE SOLAMENTE LAS ETAPAS DE: ANµLISIS TE‡RICO DE LOS RESULTADOS REPORTADOS POR EL PROVEEDOR,  EVALUACI‡N V÷A FTIR Y HUMEDAD. 

DEL ANµLISIS TE‡RICO DE LOS RESULTADOS REPORTADOS POR EL PROVEEDOR DEL EQUIPO SE PUDO COMPROBAR:  EN  PRIMER  LUGAR  LA  NO  UTILIZACI‡N  DE  UN  EQUIPO  SIMILAR  AL  OBTENIDO  POR POLINTER PARA EL ESTUDIO IMPLICA LA FALTA DE SERIEDAD EN EL ESTUDIO, ADICIONALMENTE Y COMO SEGUNDO PUNTO,   LOS RESULTADOS NO INDICA LA EXISTENCIA DE UN MêTODO CUALITATIVO QUE  PUEDA  SER  UTILIZADO  DE  FORMA  CONFIABLE  EN  CONTROL  DE  CALIDAD.  A  LO  SUMO,  LOS RESULTADOS  PRESENTADOS  INDICAN  QUE  EXISTE  CIERTA  FACTIBILIDAD  DEL  MONTAJE  PREVIA DETERMINACI‡N DE LOS FACTORES DE INTERFERENCIA Y LA DETERMINACI‡N DE LAS CONSTANTE DE RESPUESTAS. 

EN RELACI‡N CON LOS RESULTADOS OBTENIDOS V÷A FTIR Y SU COMPARACI‡N CON LOS RESULTADOS V÷A HUMEDAD .TRADICIONAL., SE PUEDEN INDICAR QUE LOS MISMOS PRESENTAN UNA EXACTITUD ADECUADA PARA ANµLISIS DE CONTROL DE CALIDAD (6%), CON UNA DISMINUCI‡N EN EL TIEMPO DE ANµLISIS DE UN 40% APROXIMADAMENTE  Y CON LA GANANCIA ADICIONAL DE PODER OBTENER UN MAYOR NUMERO DE REPLICAS. ESTE ESTUDIO FUE LIMITADO A LOS PATRONES Y AL GRADO 11Q-4  Y  POR  LO  TANTO  DEBE  TENERSE  CUIDADO  DE  NO  EXTRAPOLARSE  A  OTROS  GRADOS  CON  OTRA MATRIZ DE ADITIVO.";INFORMES/POLINTER/2007/IN07060.PDF;POLINTER
PLT02508;POLINTER;PLT-A-0208-02-03;COLOR, PELBD, 11O4;"ARIAS, M‡NICA; PENICHET, IGNACIO";;;APOYO EN ANµLISIS DE PROBLEMA DE COLOR EN PELLETS DE PELBD.;INFORME TECNICO;2008;SUMINISTRAR INFORMACI‡N A POLINTER QUE PERMITA IDENTIFICAR LAS CAUSAS DE PROBLEMA DE COLOR (PRODUCTO AMARILLO) DETECTADO EN EL GRADO 11O4 LUEGO DE UN ARRANQUE DE PLANTA.;INFORMES/POLINTER/2008/IN08075.PDF;POLINTER
PLT02509;POLINTER;PLT-A-0109-02-12;Plastisur, biodegradable, coloraci¢n;GOMEZ, PATRICIA;;;PLASTISUR ? COLORACI‡N DE PEL÷CULA BIODEGRADABLE;INFORME TECNICO;2009;;informes/POLINTER/2009/IN09199.pdf;
PLT02510;POLINTER;PLT-P-0210-01-02;ANµLISIS TêCNICO, DISE•O, TANQUE, ESQUINERO,;BOHORQUEZ, JOEL;;;TANQUE ESQUINERO - Q'TANQUE;INFORME TECNICO;2010;EVALUAR LA FACTIBILIDAD TêCNICA (ESPECIALMENTE LA PRESENCIA DE CONCENTRACI‡N DE ESFUERZOS) DE DISE•AR UN TANQUE DE AGUA QUE TENGA UNA ARISTA DE 90¯ (EL RESTO DE LA SECCI‡N TRANSVERSAL PUEDE ‡ NO SER CIRCULAR), DE MODO QUE PUEDA SER ALMACENADO CONTRA LAS ESQUINAS DE UN APARTAMENTO.;INFORMES/POLINTER/2010/IN10267.PDF;
PLT02511;POLINTER;PLT-P-0211-04-03;EMPAQUE, BEBIDAS, TERMOENCOGIBLE, PEL÷CULA,;FUENMAYOR, JESUS;;;DESARROLLO EMPAQUE SECUNDARIO BEBIDAS ENERGêTICAS;INFORME TECNICO;2011;DESARROLLAR UN EMPAQUE TERMOENCOGIBLE PRIMARIO BASADO EN PE,  BAJO LA PREMISA DE QUE NO SE ADHIERA AL EMPAQUE TERMOENCOGIBLE SECUNDARIO.;INFORMES/POLINTER/2011/IN11159.PDF;
PLT02512;POLINTER;PLT-AM-0112-02-14;MUESTRA SLURRY CATALIZADOR, 1 BUTENO, DISPONER, SHA,;"SANCHEZ, MARIA; SOTO, OTTO; CONTRERAS, ALFRESO";;;DEFINICI‡N Y PREPARACI‡N DE SLURRY DE CATALIZADOR A DISPONER ?PLANTA 1 BUTENO?.;INFORME TECNICO;2012;DEFINIR Y PREPARAR, LA ALTERNATIVA MµS CONVENIENTE PARA LA OBTENCI‡N DE MUESTRA DE CATALIZADOR DE LA PLANTA DE 1-BUTENO A DISPONER. CONSIDERAR LA SEGURIDAD Y GARANT÷A EN LA INTEGRIDAD DE LAS MATERIAS PRIMAS.;INFORMES/POLINTER/2012/IN12260.PDF;
PLT02513;POLINTER;PLT-PL-0413-02-09;Propiedades ¢pticas, pel°cula invernadero, FB3003, LD 7000A Braskem;GOMEZ, PATRICIA;SS 13198;;Propiedades ¢pticas de pel°cula para invernadero;INFORME TECNICO;2013;Determinar las propiedades ¢pticas de dos pel°culas invernadero, una de ellas fabricada con FB3003 y otra con un homotipo de Çste (LD 7000A de Braskem).;\INFORMES\POLINTER\2013\IN13198.PDF;
PLT02514;POLINTER;PLT-PL-0414-01-04;Catalizador RZ, prueba industrial 2014;Freddy Andarcia;SS: 14183;;Evaluaci¢n industrial del catalizador RZ de Mitsui;INFORME TECNICO;2014;Determinar si el catalizador RZ ofrecido por Mitsui, representan una alternativa mejorada del catalizador actualmente utilizado en planta. Espec°ficamente se evaluaran las propiedades del producto final obtenido a escala industrial y las caracter°sticas del polvo de PEAD generado durante la prueba, espec°ficamente la morfolog°a del polvo (distribuci¢n de tama§o de part°cula), tiempo de flujo y †ngulo de reposo est†tico.;\informes\Polinter\2014\IN14183.PDF;
PLT02515;POLINTER;PLT-ME-0215-04-05;"Saco 160 micras/ Prueba 
industrial.";"Luis Martinez";"SS:15038";;"Sacos de 160 micras para 
Polinter";INFORME TECNICO;2015;Evaluar el desempe§o de sacos de 160 micras en ensacado de Polinter.;informes\Polinter\2015/In15038.pdf;
PLT02600;POLINTER;PLT-A-0100-01-09;DETERMINACION, VISCOSIDAD, DENSIDAD, LICOR MADRE, ESTIMACION, PERDIDA, CARGA FRICCIONAL, ACCESORIOS, N-HEXANO, PE,;BELLO, JUAN;;;ESTIMACI‡N DE LAS PêRDIDAS DE CARGA TE‡RICAS A LA DESCARGA DE LAS BOMBAS P-301 A/B DE LICOR MADRE;INFORME TECNICO;2000;"SE HA REALIZADO UN ESTUDIO PARA DETERMINAR LAS PêRDIDAS DE CARGA TE‡RICAS A LA DESCARGA DE LAS BOMBAS DE LICOR MADRE P-301 A/B, PARA LOS GRADOS 7000F Y 6200B, A FIN DE APOYAR A POLINTER A DETERMINAR LAS CAUSAS QUE IMPIDEN AUMENTAR LA CIRCULACI‡N DIRECTA (CD) A LOS REACTORES DESDE UNA RELACI‡N DE 70/70, HASTA SU OBJETIVO DE 93/93. 

CON ESTE FIN SE ESTIMARON LAS PêRDIDAS DE CARGA EMPLEANDO EL TRADICIONAL BALANCE MACROSC‡PICO DE ENERG÷A MECµNICA (BMEM) Y LA EC. DE KARMAN - NIKURADSE, PARA ESTIMAR EL FACTOR DE FRICCI‡N, CON BASE EN DATA DE PLANTA DEL SISTEMA DE CIRCULACI‡N DE LICOR MADRE, LOS DIAGRAMAS DE TUBER÷A E INSTRUMENTACI‡N (P&ID), DIAGRAMAS DE PROCESOS (PFD), DIAGRAMAS DE ISOMêTRICOS, BALANCES DE MASA DE MITSUI, HOJAS DE ESPECIFICACI‡N DE EQUIPOS Y VERIFICACI‡N DE DIMENSIONES Y ACCESORIOS DEL CIRCUITO. LOS CµLCULOS REQUIRIERON ESTIMAR LA VISCOSIDAD DEL LICOR MADRE DE LOS GRADOS 6200B Y 7000F, MEDIANTE LAS TêCNICAS DEL VISCOS÷METRO BROOKFIELD Y DEL VISCOS÷METRO &#8220;FORD CUP&#8221;, ASI COMO LA DENSIDAD. 

SE OBTUVO QUE, CON LA CONFIGURACI‡N ACTUAL DEL SISTEMA DE RECIRCULACI‡N DE LICOR MADRE, ES TE‡RICAMENTE IMPOSIBLE ALCANZAR LOS FLUJOS REQUERIDOS A LA ENTRADA DEL REACTOR D-201, PARA EL CASO DE OPERAR A UNA TASA DE CIRCULACI‡N DIRECTA DE 90/90 O MAYOR , PARA EL GRADO 7000F A UNA CARGA TOTAL DE ETILENO DE 14.0 TON/H. LA CAUSA PRINCIPAL DE ESTE IMPEDIMENTO ES LA EXCESIVA CA÷DA DE PRESI‡N PRODUCIDA POR LAS VµLVULAS FIC-225 Y FIC-245 (ENTRE UN 60-73% DE LAS PêRDIDAS TOTALES DE CADA TRAMO, MIENTRAS DEBER÷AN ESTAR ENTRE 20-50%, SEGÈN LAS RECOMENDACIONES GENERALES DE DISE•O). SE COMPROB‡ QUE SUSTITUYENDO LAS ACTUALES VµLVULAS DE CONTROL POR UNAS QUE PERMITAN UNA CA÷DA DE PRESI‡N MµXIMA DE 2.0 KGF/CM2, A UN FLUJO MµSICO MµXIMO DE 12.0 TON/H, SE PUEDEN ALCANZAR TE‡RICAMENTE LOS FLUJOS REQUERIDOS A LA ENTRADA DE LOS REACTORES D-201 Y D-221, POR LO QUE SE RECOMEND‡ ESTUDIAR LA POSIBILIDAD DE SUSTITUIRLAS POR OTRAS DEL MISMO DIµMETRO DE LA TUBER÷A (2&#8221;).";INFORMES/POLINTER/2000/IN00095.PDF;POLINTER
PLT02601;POLINTER;PLT-P-0101-02-08;PEAD, VENELENE, 6200B, PROPIEDADES TERMICAS, DSC,;MANAURE, ARELI;;;IDENTIFICACION DE MATRIZ POLIMERICA EN MUESTRAS DE ENVASES SOPLADOS SUMINISTRADOS POR INNOVACIONES JAPONESAS;INFORME TECNICO;2001;IDENTIFICAR LA MATRIZ POLIMêRICA DE MUESTRAS DE ENVASES SOPLADOS, SUMINISTRADOS POR INNOVACIONES JAPONESAS;INFORMES/POLINTER/2001/IN01084.PDF;POLINTER
PLT02602;POLINTER;PLT-A-0202-01-05;PEBD, FD0325, PELICULAS, SOPLADO, MEZCLA,;COLLS, NELSON;;;EVALUACI‡N DEL DESEMPE•O DE TALCO FABRICADO POR PROVEEDOR PERUANO;INFORME TECNICO;2002;EVALUAR EL DESEMPE•O DE TALCOS DE DIFERENTES PROVEEDORES, A TRAVêS DE LA DETERMINACI‡N DE LAS PROPIEDADES MECµNICAS, ‡PTICAS, DE BLOQUEO Y FRICCI‡N, Y DE PROCESAMIENTO DE UN GRADO VENELENE 11G1 ADITIVADO CON LOS MISMOS.;INFORMES/POLINTER/2002/IN02134.PDF;POLINTER
PLT02603;POLINTER;PLT-A-0203-01-04;;MANAURE, ARELI;;;DETERMINACION DE LA DENSIDAD ABSOLUTA DE LOS LOTES DE PEBD VENELENE MD2002;INFORME TECNICO;2003;DETERMINAR LA DENSIDAD ABSOLUTA A DOS MUESTRA DE PEBD VENELENE MD2002, LOTES 204078 Y 204440.;INFORMES/POLINTER/2003/IN03087.PDF;
PLT02604;POLINTER;PLT-E-0204-02-05;ACIDO PELARG‡NICO, ACIDO GRASOS, CROMATOGRAF÷A L÷QUIDA, EVALUACI‡N,;AVENDA•O, CARLOS;;;DETERMINACI‡N DE LA COMPOSICI‡N DE LA MEZCLA C8-C10 (SUCEDµNEO DEL µCIDO PELARG‡NICO) SUMINISTRADO POR FINE ORGANICS PARA PODER CALIFICAR COMO POSIBLE PROVEERDOR ALTERNO DEL PRODUCTO.;INFORME TECNICO;2004;DETERMINAR LA COMPOSICI‡N DE LA MEZCLA C8-C10 SUMINISTRADA POR FINE ORGANICS, CON NOMBRE COMERCIAL FINALUX, PARA PODER CALIFICARLA COMO POSIBLE PROVEEDOR ALTERNO DEL PRODUCTO UTILIZADO COMO DESACTIVADOR PRIMARIO (SUCEDµNEO DEL µCIDO PELARG‡NICO).ESTA CLASIFICACI‡N SE HARµ COMPARANDO LOS RESULTADOS CONTRA LOS OBTENIDO CON EL PRODUCTO HEXAGON, ACTUALMENTE UTILIZADO EN POLINTER.;INFORMES/POLINTER/2004/IN04094.PDF;
PLT02605;POLINTER;PLT-A-0205-01-07;CACO3, FA-0240, FB-0348, ESTRUSI‡N, PEL÷CULA, PROPIEDADES ‡PTICAS,;BARRIOS, NEOSIRIS;;;"EVALUACI‡N DE NUEVO CARBONATO DE CALCIO PARA EL
GRADO VENELENE FD-0348.";INFORME TECNICO;2005;DETERMINAR EL DESEMPE•O DE UN NUEVO CARBONATO DE CALCIO (AMPVECA) INCORPORADO EN EL LOTE 205739 DE VENELENE FD-0348, EL CUAL SERµ COMPARADO CON EL LOTE ESTµNDAR 205738 QUE UTILIZA TALCO DERPLAST COMO AGENTE ANTIBLOQUEANTE.;INFORMES/POLINTER/2005/IN05096B.PDF;
PLT02606;POLINTER;PLT-A-0106-01-03;COLOMBIA, 412290, ALÈMINA, MORGAN, MANCHAS, TAPA,;GUTIERREZ, EDGAR;;;RECLAMO MORGAN - MANCHAS EN TAPA - 2707AP;INFORME TECNICO;2006;DETERMINAR EL ORIGEN DE LAS MANCHAS PRESENTES EN LA TAPA SUMINISTRADA POR EL CLIENTE MORGAN.;INFORMES/POLINTER/2006/IN06088.PDF;
PLT02607;POLINTER;PLT-X-0206-01-01;PEAD, POLIMEROS BAJOS, CERAS, EXPANSION, PLANTA, PREMISAS, DISE•O, CAPACIDAD, TASAS DE GENERACION,POLIMEROS,;RINCON, LUIS;;;"INGENIER÷A CONCEPTUAL PARA EL TRATAMIENTO Y DISPOSICI‡N DE LAS CERAS PRODUCIDAS EN LA PLANTA POLINTER DE ALTA 
DENSIDAD";INFORME TECNICO;2007;"EN EL PROCESO UTILIZADO EN POLINTER PARA LA PRODUCCI‡N  DE  POLIETILENO  DE  ALTA DENSIDAD (PEAD) SE GENERA COMO SUBPRODUCTO UNA CIERTA CANTIDAD DE CERAS O POL÷MERO  DE  BAJO  PESO  MOLECULAR.  ESTE  POL÷MERO  DE  BAJO  PESO  MOLECULAR (""POL÷MEROS  BAJOS""  O  ""CERAS"".),  ES  ENVIADO  DISUELTO  EN  HEXANO  (.LICOR MADRE.) A LA SECCI‡N DE PURIFICACI‡N DE HEXANO (SECCI‡N 700).  ADICIONALMENTE, 
EL LICOR MADRE CONTIENE TAMBIêN PART÷CULAS S‡LIDAS PEQUE•AS DE POL÷MERO DE ALTO PESO MOLECULAR, UNA CIERTA CANTIDAD DE OLIG‡MEROS (C4-C17) Y RESTOS METµLICOS DE CATALIZADORES.

EN LA SECCI‡N DE PURIFICACI‡N DE HEXANO EL LICOR MADRE PROVENIENTE DEL TANQUE D-301 ES RECIBIDO EN LA TORRE DESPOJADORA DE HEXANO T-703 (VER DIAGRAMA  1). APROXIMADAMENTE UN 99,7% DEL HEXANO ALIMENTADO A ESTA TORRE EN LA CORRIENTE DE LICOR MADRE ES EVAPORADO Y ENVIADO HACIA EL CONDENSADOR DE HEXANO E-704 PARA SU RECUPERACI‡N AGUAS ABAJO DE ESTE EQUIPO, MIENTRAS QUE EL  RESTO DEJA  LA  TORRE 
POR EL FONDO DE LA MISMA JUNTO A LAS CERAS. ESTAS CERAS O POL÷MERO DE BAJO PESO MOLECULAR, CONTENIENDO APROXIMADAMENTE 90% EN PESO DE HEXANO, SON CALENTADAS Y ENVIADAS AL TANQUE VOLATILIZADOR T-711, DONDE ES SEPARADO POR
EVAPORACI‡N APROXIMADAMENTE 98% DEL HEXANO ALIMENTADO, EL CUAL ES RETORNADO A LA TORRE T-703; EL HEXANO RESTANTE DEJA EL VOLATILIZADOR T-711 POR EL FONDO DEL MISMO JUNTO AL POL÷MERO DE BAJO PESO MOLECULAR. 

LA CORRIENTE DE POL÷MEROS BAJOS QUE DEJA EL RECIPIENTE D-711 POR EL FONDO DE êSTE, CONTENIENDO APROXIMADAMENTE 10-15% EN PESO DE HEXANO Y OLIG‡MEROS,  ES CALENTADA Y ENVIADA CONTINUAMENTE AL TANQUE D-712, EN EL CUAL SE SOMETE A UNA
NUEVA VOLATILIZACI‡N. EL HEXANO EVAPORADO EN EL TANQUE D-712 ES ENVIADO HACIA LA TORRE T-705, Y EL POL÷MERO BAJO FUNDIDO, CONTENIENDO APROXIMADAMENTE 5-10% EN PESO DE HEXANO Y OLIG‡MEROS,  ES  DESCARGADO  HACIA  EL  TANQUE  D-921 PARA SU DISPOSICI‡N FINAL.";INFORMES/POLINTER/2007/IN07073.PDF;POLINTER
PLT02608;POLINTER;PLT-E-0208-02-04;EXTRAIBLES,  HEXANO, OLIGOMEROS;"ARIAS, M‡NICA; ERKER, ALFREDO";;;EVALUACI‡N DE SUPLIDOR ALTERNO DE ESTEARATO DE CALCIO.;INFORME TECNICO;2008;EVALUAR PROPIEDADES MACROSC‡PICAS A DOS MUESTRAS DE ESTEARATO DE CALCIO DEL PROVEEDOR CORPORACI‡N SIERRA MADRE, DE MêXICO.;INFORMES/POLINTER/2008/IN08099.PDF;POLINTER
PLT02609;POLINTER;PLT-A-0109-02-13;Pasticos de empaque, reologia, indice de fluidez, fricci¢n, peliculas, pellets, agente deslizante;NORIEGA, WILLIAN;;;PLASTICOS DE EMPAQUE ? PROBLEMAS DE FRICCI‡N EN COEXTRUSI‡N;INFORME TECNICO;2009;;informes/POLINTER/2009/IN09200.pdf;
PLT02610;POLINTER;PLT-P-0110-07-01;PLµSTICOS OLIVEROS, DESGARRE, PEL÷CULAS, DSC, ESPESORES, TENSI‡N, PENETRACI‡N, ENNE, BAJA RESISTENCIA, HALADO,;GOMEZ, PATRICIA;;;PROBLEMAS DE DESGARRE DE PEL÷CULAS;INFORME TECNICO;2010;IDENTIFICAR LAS CAUSAS DE LOS PROBLEMAS DE BAJA RESISTENCIA AL HALADO Y AL DESGARRE MD DE LAS PEL÷CULAS DE PLµSTICOS OLIVEROS Y SUGERIR ACCIONES DE MEJORA.;INFORMES/POLINTER/2010/IN10286.PDF;
PLT02611;POLINTER;PLT-P-0211-02-08;PA•ALES, CIAMCA, PEL÷CULA, ESTIRABLE, ADHESIVO,;FUENMAYOR, JESUS;;;DESARROLLO EMPAQUE ESTIRABLE Y LAMINADO PARA PA•ALES;INFORME TECNICO;2011;"- DESARROLLAR UN EMPAQUE ESTIRABLE PARA LA PROTECCI‡N INTERNA DE LOS PRODUCTOS ANTES DE SU EMPACADO FINAL. 
- EVALUAR LA POSIBILIDAD DE ELIMINAR EL ADHESIVO ENTRE LA LµMINA DE PE Y EL TEJIDO-NO TEJIDO DE PP DEL PA•AL, MEDIANTE UNA LAMINACI‡N EN CALIENTE ENTRE AMBOS MATERIALES.";INFORMES/POLINTER/2011/IN11117.PDF;
PLT02612;POLINTER;PLT-A-0112-02-14;FRICCI‡N, SELLO, LAVADO, DESLIZANTE,;FUENMAYOR, JESUS;;;PROBLEMAS DE FRICCI‡N Y SELLO EN LAMINADO;INFORME TECNICO;2012;DETERMINAR LAS CAUSAS POR LAS CUALES UNA PEL÷CULA CON ALTO TIEMPO DE ALMACENAMIENTO NO SELLA ADECUADAMENTE CUANDO ES EMPLEADA EN UNA LAMINACI‡N.;INFORMES/POLINTER/2012/IN12266.PDF;
PLT02613;POLINTER;PLT-ME-0313-01-02;"transformador; PE; importada;";GUTIERREZ, EDGAR;SS 13200;;Propiedades b†sicas de homotipo de 6100M;INFORME TECNICO;2013;Determinar las propiedades b†sicas (°ndice de fluidez, densidad y contenido de inorg†nico) de un PE importado homotipo del 6100M;\INFORMES\POLINTER\2013\IN13200.PDF;
PLT02614;POLINTER;PLT-ME-0414-03-04;bolsas, compostable, desgarre, penetraci¢n, tensi¢n, sellabilidad, espesores.;Patricia Gomez;SS: 14293;;Evaluaci¢n bolsas camiseta compostables;INFORME TECNICO;2014;Determinar las propiedades de tres muestras comerciales de bolsas compostables, comparar su desempe§o en comparaci¢n a una pel°cula de 7000F de equivalente espesor, y establecer si desde el punto de vista tÇcnico estos empaques representan una amenaza al PE.;\informes\Polinter\2014\IN14293.PDF;
PLT02615;POLINTER;PLT-PL-0815-01-06;FINAWAX E;"Geolaine A. Marcano";"SS:15234";;"Evaluaci¢n en puerto de FINAWAX 
E con largo tiempo de almacenaje";INFORME TECNICO;2015;Determinar, mediante inspecci¢n simple, si un embarque de FINAWAX E se encuentra en condiciones adecuadas para su uso en la planta de Lineal.;informes\Polinter\2015/IN15234.pdf;
PLT02700;POLINTER;PLT-A-0100-02-05;PROPIEDADES, MECANICAS, TENSILES, INYECTABILIDAD, ESCR, DEFORMACION CONTANTE, GARDNER,;PENICHET, IGNACIO;;;EFECTO DE CONDICIONES DE PROCESO MµS ESTRECHAS SOBRE LAS PROPIEDADES PELBD 2807;INFORME TECNICO;2000;EVALUAR EL EFECTO DE CONDICIONES DE PROCESO MµS ESTRECHAS SOBRE LAS PROPIEDADES DEL PELBD 2807.;INFORMES/POLINTER/2000/IN00099.PDF;POLINTER
PLT02701;POLINTER;PLT-A-0101-01-12;SILICE, TALCO, PELICULA,PROPIEDADES OPTICAS,;PENICHET, IGNACIO;;;EVALUACION DEL PELBD 11F1 CON UN AGENTE ANTIBLOQUEANTE SUPLIDO POR DERPLAST, EVALUACI‡N 2001;INFORME TECNICO;2001;DETERMINAR EL EFECTO DE UTILIZAR MATERIAL DE DERPLAST COMO AGENTE ANTIBLOQUEANTE EN COMPARACI‡N CON EL SUMINISTRADO POR AMPACET.;INFORMES/POLINTER/2001/IN01088.PDF;POLINTER
PLT02702;POLINTER;PLT-A-0202-01-07;PE, FRACCION MAXIMA, SOLUBLE, XILENO, EXTRAIBLES, HEXANO,;PENICHET, IGNACIO;;;OLOR EN GRADOS DE POLIETILENO PRODUCIDOS EN LA PLANTA DE LINEAL DE POLINTER;INFORME TECNICO;2002;IDENTIFICAR EL ORIGEN O CAUSA DE OLOR EN GRADOS DE POLIETILENO PRODUCIDOS EN LA PLANTA DE LINEAL DE POLINTER.;INFORMES/POLINTER/2002/IN02137.PDF;POLINTER
PLT02703;POLINTER;PLT-P-0103E-05-02;LABORATORIOS BEHERENS, SUSTITUCION, PP, APLICACIONES MEDICAS, SOPLAADO, LLENADO, SELLADO, TROQUELADO, DESBARBADO,;GUASTAFERRO, FRANCO;;;EVALUACION DE PROPIEDADES DEL LUPOLEN 3040D Y DE SUS POSIBLES SUSTITUTOS VENELENE. PROPIEDADES DE LAS BOTELLAS SOPLADAS DURANTE LA PRIMERA BATERIA DE PRUEBAS;INFORME TECNICO;2003;"DESARROLLAR UN PRODUCTO QUE IGUALE O SUPERE EL DESEMPE•O DEL LUPOLEN 3040D EN EL SOPLADO DE BOTELLAS COLAPSIBLES PARA ENVASADO DE SUERO FISIOLOGICO.
EL PRESENTE REPORTE ANALIZA LAS PROPIEDADES DE LAS BOTELLAS SOPLADAS DURANTE LA PRIMERA BATERIA DE PRUEBAS Y EMITE RECOMENDACIONES PARA PROSEGUIR EN ALCANCE DEL OBJETIVO PLANTEADO.";INFORMES/POLINTER/2003/IN03088.PDF;
PLT02704;POLINTER;PLT-A-0204-02-04;MATERIAL RETENIDO, DSC,;AVENDA•O, CARLOS;;;DETERMINACI‡N DE COMPONENTES PRESENTES EN MATERIAL RETENIDO EN EL FILTRO DE UN INSTRUMENTO DE MEDICI‡N DE HUMEDAD DE HEXANO UTILIZADO POR POLINTER;INFORME TECNICO;2004;DETERMINAR LOS COMPONENTES PRESENTES EN MATERIAL RETENIDO EN EL FILTRO DE UN INSTRUMENTO DE MEDICI‡N DE HUMEDAD DE HEXANO.;INFORMES/POLINTER/2004/IN04095.PDF;
PLT02705;POLINTER;PLT-A-0205-01-07;CACO3, FA-0240, FB-0348, ESTRUSI‡N, PEL÷CULA, PROPIEDADES ‡PTICAS,;BARRIOS, NEOSIRIS;;;EVALUACI‡N DE NUEVO CARBONATO DE CALCIO PARA LOS GRADOS VENELENE FD-0348 Y FA-0240;INFORME TECNICO;2005;"DETERMINAR EL DESEMPE•O A NIVEL INDUSTRIAL DE UN NUEVO CARBONATO DE CALCIO (AMPVECA) INCORPORADO A LOS LOTES 205739 DE VENELENE FD-0348 Y 205672 DE VENELENE FA-0240, Y COMPARAR EL COMPORTAMIENTO A NIVEL DE PROCESAMIENTO Y PROPIEDADES CON LOS GRADOS ELABORADOS CON TALCO COMO AGENTE ANTIBLOQUEANTE (LOTES: 205738, 205607, 205742, 205817, 205744 DE VENELENE FD-0348; 205620 DE VENELENE FA- 0240).";INFORMES/POLINTER/2005/IN05096C.PDF;
PLT02706;POLINTER;PLT-A-0206-02-07;VISCOSIDAD, CINEMµTICA, ACEITE, CENTRIFUGA,;ARIAS, MONICA;;;EVALUACI‡N DE ACEITE DE CENTR÷FUGA M-301;INFORME TECNICO;2006;APOYAR A LA INVESTIGACI‡N DE PROBLEMA DE FUGAS DE ACEITE EN LA CENTR÷FUGA DE LA PLANTA DE ALTA DENSIDAD.;INFORMES/POLINTER/2006/IN06089.PDF;
PLT02707;POLINTER;PLT-P-0107-07-03;MEZCLAS, PEAD, VENELENE, 6200B, 3200B, 11F1, PROPIEDADES, TENSION, RESISTENCIA AL IMPACTO, DESGARRE, PENETRACION, TERMOENCOGIBILIDAD, PROPIEDADES OPTICAS,;TORRES, AGUSTIN;;;USO DEL 59C EN TERMOENCOGIBLE;INFORME TECNICO;2007;"1   OBJETIVOS. 
1.1  COMERCIAL. 
DETERMINAR LA CONVENIENCIA DE INCORPORAR A LA OFERTA DE PRODUCTOS VENELENE UN PEAD PARA USO EN MEZCLAS PARA EMPAQUE TERMOENCOGIBLE OBTENIDO EN LA PLANTA DE LINEAL MEDIANTE EL MODO DE
REACCI‡N .3 A TRAVêS DE 1.

1.2  TêCNICO. 
EVALUAR EL DESEMPE•O  DEL  PEAD  59C  COMO  SUSTITUTO  DEL  PEAD 6200B Y DEL PEAD 3200B EMPLEADO EN LA FORMULACI‡N  DE  MEZCLAS  PARA  EMPAQUE  TERMOENCOGIBLE  MEDIANTE  ENSAYOS REALIZADOS EN LAS EMPRESAS PLASTISUR, FOLPACK, GENTOFLEX Y PLµSTICOS EL PROGRESO.";INFORMES/POLINTER/2007/IN07080A.PDF;POLINTER
